# Wavelength Flux
8400.0000000000 2639.2391473753
8400.2500000000 2636.1905506203
8400.5000000000 2641.3491603958
8400.7500000000 2637.0123052336
8401.0000000000 2637.6519551971
8401.2500000000 2638.7316049647
8401.5000000000 2637.6892901169
8401.7500000000 2637.0316702448
8402.0000000000 2638.8886182865
8402.2500000000 2636.3990679241
8402.5000000000 2636.3564195637
8402.7500000000 2631.9324937164
8403.0000000000 2617.7425885548
8403.2500000000 2570.0504535387
8403.5000000000 2488.4916287702
8403.7500000000 2440.4801610800
8404.0000000000 2480.9946084067
8404.2500000000 2553.6381463800
8404.5000000000 2596.7609062454
8404.7500000000 2601.5740173951
8405.0000000000 2597.2386794937
8405.2500000000 2610.8638929114
8405.5000000000 2623.9633368190
8405.7500000000 2631.7620962912
8406.0000000000 2633.6913984153
8406.2500000000 2629.3878274780
8406.5000000000 2624.6036522639
8406.7500000000 2621.0888410294
8407.0000000000 2615.9334665666
8407.2500000000 2612.8657484675
8407.5000000000 2601.9356718705
8407.7500000000 2597.6963428760
8408.0000000000 2601.7586394516
8408.2500000000 2614.2034784890
8408.5000000000 2622.4839856513
8408.7500000000 2630.8659754679
8409.0000000000 2625.4741915417
8409.2500000000 2616.7825057811
8409.5000000000 2612.5274012311
8409.7500000000 2618.3775645578
8410.0000000000 2619.4515923804
8410.2500000000 2611.8511711245
8410.5000000000 2605.5097479808
8410.7500000000 2602.6687380860
8411.0000000000 2610.2219648925
8411.2500000000 2619.7792420905
8411.5000000000 2624.7733086860
8411.7500000000 2628.2379421053
8412.0000000000 2625.4424899346
8412.2500000000 2620.3853764490
8412.5000000000 2617.6413940620
8412.7500000000 2622.4820906026
8413.0000000000 2623.7397624091
8413.2500000000 2609.8039011227
8413.5000000000 2593.1718208515
8413.7500000000 2591.8286981485
8414.0000000000 2585.3828551247
8414.2500000000 2538.9737458984
8414.5000000000 2451.4958688119
8414.7500000000 2424.3676684907
8415.0000000000 2495.4350331400
8415.2500000000 2578.8947961668
8415.5000000000 2613.1130491954
8415.7500000000 2609.3484813867
8416.0000000000 2585.5070780087
8416.2500000000 2564.0322817274
8416.5000000000 2569.4775223534
8416.7500000000 2597.0441603050
8417.0000000000 2617.1927340646
8417.2500000000 2627.6260935498
8417.5000000000 2628.6453284723
8417.7500000000 2628.1930502580
8418.0000000000 2626.5698863812
8418.2500000000 2625.1187464408
8418.5000000000 2621.3985493040
8418.7500000000 2609.5094896932
8419.0000000000 2578.3097539194
8419.2500000000 2541.4638827420
8419.5000000000 2509.1348104848
8419.7500000000 2468.2467592850
8420.0000000000 2393.2821261760
8420.2500000000 2362.3023904474
8420.5000000000 2429.5418484530
8420.7500000000 2518.6265323713
8421.0000000000 2567.8683209946
8421.2500000000 2593.4735140055
8421.5000000000 2602.0670919349
8421.7500000000 2593.5415052033
8422.0000000000 2581.1544531447
8422.2500000000 2574.6700459378
8422.5000000000 2582.6904876732
8422.7500000000 2589.8862773898
8423.0000000000 2601.0120060691
8423.2500000000 2614.7667213847
8423.5000000000 2617.2022648131
8423.7500000000 2619.1231111293
8424.0000000000 2616.4558302712
8424.2500000000 2610.7955094276
8424.5000000000 2591.9199734657
8424.7500000000 2539.6470440382
8425.0000000000 2456.4583583428
8425.2500000000 2411.2208412306
8425.5000000000 2461.9082893131
8425.7500000000 2536.5277027134
8426.0000000000 2548.7392008993
8426.2500000000 2506.2167876059
8426.5000000000 2484.9753159727
8426.7500000000 2523.5155846877
8427.0000000000 2580.1657162269
8427.2500000000 2608.4520088610
8427.5000000000 2604.2303327384
8427.7500000000 2579.9981472396
8428.0000000000 2542.9210433069
8428.2500000000 2498.7161316149
8428.5000000000 2436.3813025272
8428.7500000000 2376.3185023840
8429.0000000000 2398.6718476900
8429.2500000000 2480.0414319104
8429.5000000000 2547.1311472660
8429.7500000000 2585.5793440625
8430.0000000000 2605.6748312724
8430.2500000000 2614.9033496008
8430.5000000000 2619.8281567515
8430.7500000000 2622.3636510159
8431.0000000000 2619.4092978067
8431.2500000000 2617.9312154056
8431.5000000000 2616.3358545282
8431.7500000000 2613.4632797570
8432.0000000000 2605.0751510650
8432.2500000000 2602.9794398111
